fold,n_valid,gamma,lambda_,SSE,RMSE
3,102,1.0,1e-05,153.9642144857761,0.34075178008382984
3,102,1.0,0.0001,153.14329051730897,0.3398421363145887
3,102,1.0,0.001,147.61584717022984,0.333652766065772
3,102,1.0,0.01,135.51528354719565,0.31968508678277274
3,102,1.0,0.1,147.3754885300287,0.33338101679685406
3,102,1.0,1.0,210.35247622142225,0.39829243012577065
3,102,1.0,10.0,434.03441759792196,0.5721242057331285
3,102,1.0,100.0,821.6976031646825,0.7871984821825048
3,102,2.0,1e-06,184.25378418376528,0.37276613093718736
3,102,2.0,1e-05,184.24327526671362,0.372755500424969
3,102,2.0,0.0001,184.13957751439023,0.37265058656058003
3,102,2.0,0.001,183.22343718446564,0.37172241583977267
3,102,2.0,0.01,178.99276048800238,0.3674057686805289
3,102,2.0,0.1,179.94193048973918,0.36837862769259305
3,102,2.0,1.0,240.10774743752103,0.42553111825985407
3,102,2.0,10.0,489.4930493690698,0.6075772482955212
3,102,2.0,100.0,850.8402103921309,0.801036381105941
3,102,4.0,1e-06,261.03845026314144,0.4436908567543134
3,102,4.0,1e-05,261.0379464632607,0.44369042859610847
3,102,4.0,0.0001,261.03295678342016,0.4436861880559944
3,102,4.0,0.001,260.9877002133469,0.44364772435832
3,102,4.0,0.01,260.8652209411712,0.4435436121206913
3,102,4.0,0.1,267.0070668941895,0.44873466051347755
3,102,4.0,1.0,345.34537346105503,0.510334653061524
3,102,4.0,10.0,648.6333722565014,0.6994036310368049
3,102,4.0,100.0,912.1000386450768,0.8293722019426872
4,102,0.015625,1e-06,96.61929523137536,0.26993560378278036
4,102,0.015625,1e-05,88.02996771048699,0.2576579275411522
4,102,0.015625,0.0001,112.66933162144593,0.29149499143425495
4,102,0.015625,0.001,152.2096958605639,0.33880467713164386
4,102,0.015625,0.01,176.9052344107706,0.3652570268099784
4,102,0.015625,0.1,229.73007333266168,0.4162336271585621
4,102,0.015625,1.0,543.6494863764901,0.6403062323402948
4,102,0.015625,10.0,841.4221227600032,0.7965906437218309
4,102,0.015625,100.0,904.5853165008903,0.8259485686682531
4,102,0.03125,1e-06,121.40282903476383,0.30258168815230857
4,102,0.03125,1e-05,91.5892395259122,0.2628151911137846
4,102,0.03125,0.0001,92.4856155814901,0.2640981346433349
4,102,0.03125,0.001,130.97125824028544,0.314279633390419
4,102,0.03125,0.01,164.73783105234168,0.3524722329514283
4,102,0.03125,0.1,197.53275963791606,0.3859648930552211
4,102,0.03125,1.0,425.8978391050257,0.5667362031053564
4,102,0.03125,10.0,785.9297453148745,0.7698747940920893
4,102,0.03125,100.0,897.1875818867265,0.8225643152391927
